 clasificacion | localidadcnbv |                localidad                | count |   sum   
 210101000000  | 2940003       | SILACAYOAPAN                            |     1 |      52
 210101000000  | 2942004       | SOLEDAD ETLA                            |    14 |    7391
 211190000000  | 2943009       | TAMAZULAPAN DEL PROGRESO                |     1 |    4182
 210101000000  | 2943009       | TAMAZULAPAN DEL PROGRESO                |   163 |   62387
 211190000000  | 2948007       | TEOTITLAN DEL CAMINO                    |     6 |   25020
 210101000000  | 2948007       | TEOTITLAN DEL CAMINO                    |    24 |    3527
 210101000000  | 2949003       | TEOTITLAN DEL VALLE                     |    10 |    3725
 211190000000  | 2950008       | TEOTONGO                                |     1 |    4073
 210101000000  | 2950008       | TEOTONGO                                |     4 |   25502
 210101000000  | 2951007       | TEPELMEME DE MORELOS                    |   965 |  556514
 211190000000  | 2951007       | TEPELMEME DE MORELOS                    |    56 | 1338065
 210101000000  | 2952009       | TEZOATLAN DE SEGURA Y LUNA              |   823 |  522895
 211190000000  | 2952009       | TEZOATLAN DE SEGURA Y LUNA              |    43 |  664944
 210101000000  | 2953005       | TLACOCHAHUAYA DE MORELOS                |    40 |   12035
 211190000000  | 2953005       | TLACOCHAHUAYA DE MORELOS                |     1 |    4148
 210101000000  | 2954004       | TLACOLULA DE MATAMOROS                  |    11 |   43140
 211190000000  | 2955006       | TLACOTEPEC PLUMAS                       |    49 | 1276714
 210101000000  | 2955006       | TLACOTEPEC PLUMAS                       |   409 |  249233
 210101000000  | 2956002       | TLALIXTAC DE CABRERA                    |    10 |    1732
 210101000000  | 2958003       | TRINIDAD DE ZAACHILA                    |     4 |       2
 210101000000  | 2961009       | VALERIO TRUJANO                         |   190 |   47254
 211190000000  | 2961009       | VALERIO TRUJANO                         |    11 |   45701
 210101000000  | 2965008       | YODOCONO DE PORFIRIO DIAZ               |    48 |   53946
 211190000000  | 2965008       | YODOCONO DE PORFIRIO DIAZ               |     2 |   75369
 210101000000  | 2967003       | YUTANDUCHI DE GUERRERO                  |     1 |     291
 211190000000  | 2968005       | ZAACHILA                                |    22 |  336494
 210101000000  | 2968005       | ZAACHILA                                |   130 |   57486
 211190000000  | 2971008       | ZAPOTITLAN PALMAS                       |     1 |    3251
 210101000000  | 2971008       | ZAPOTITLAN PALMAS                       |    64 |   13279
 210101000000  | 2973006       | ZARAGOZA CUYAMECALCO VILLA DE           |     4 |    2201
 211190000000  | 2974005       | ZIMATLAN DE ALVAREZ                     |     4 |   27990
 210101000000  | 2974005       | ZIMATLAN DE ALVAREZ                     |    29 |   29461
 211190000000  | 3003009       | ACATLAN                                 |     2 |    8306
 210101000000  | 3003009       | ACATLAN                                 |   228 |   47553
 210101000000  | 3010006       | AJALPAN                                 |     3 |      92
 210101000000  | 3035003       | COXCATLAN                               |     4 |    2878
 210101000000  | 3055003       | CHILA                                   |    62 |   25420
 210101000000  | 3115009       | PUEBLA MUNICIPIO DE                     |    11 |    9322
 211190000000  | 3115009       | PUEBLA MUNICIPIO DE                     |     1 |   16181
 210101000000  | 3140003       | SAN PABLO AMICANO                       |     3 |     516
 211190000000  | 3142009       | SAN PEDRO YELOIXTLAHUACAN               |     1 |    4153
 210101000000  | 3157006       | TEHUACAN                                |   107 |   21956
 211190000000  | 3157006       | TEHUACAN                                |     1 |    4007
 210101000000  | 3179003       | TLACOTEPEC DE BENITO JUAREZ             |     4 |    1156
 211190000000  | 3198009       | XAYACATLAN DE BRAVO                     |     1 |   15420
 210101000000  | 3198009       | XAYACATLAN DE BRAVO                     |     3 |     497
 210101000000  | 3212009       | ZAPOTITLAN                              |     2 |     934
 210101000000  | 4067005       | TLAXCO                                  |     2 |     161
 211190000000  | 407003        | CARMEN                                  |     3 |   32702
